Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,valence,arousal
1204,It's not funny!,Ross,anger,negative,123,4,9,17,"0:05:15,437","0:05:17,903",0,1
1207,I can't believe you put that on my alumni page!,Ross,anger,negative,123,6,9,17,"00:05:21,851","00:05:24,187",0,1
1209,You'd better hope not because I just read what you put on your    page today.,Ross,anger,negative,123,8,9,17,"00:05:27,231","00:05:29,484",0,1
1211,Oh oh oh! I RESPECTFULLY DISAGREE!!,Ross,anger,negative,123,10,9,17,"0:05:30,568","0:05:33,089",0,1
1212,I know I miss you too. I can't wait to see you. I love you. Bye.,Ross,joy,positive,124,0,5,6,"00:10:12,194","00:10:16,156",1,1
1215,"So, rocks.",Chandler,disgust,negative,124,3,5,6,"00:10:22,288","00:10:23,955",0,1
1216,"I'm really gonna miss this apartment. Y'know, Ben-Ben took his first steps right over there.",Ross,sadness,negative,124,4,5,6,"00:10:33,591","00:10:39,638",0,0
1217,"Ohh. Hey, remember when I ran into this thing  and it kinda knocked me out a little?",Joey,joy,positive,124,5,5,6,"00:10:40,765","00:10:44,392",1,1
1218,"I loved this place! To tell you the truth, I wish I didn't have to move.",Ross,joy,positive,124,6,5,6,"00:10:46,187","00:10:50,899",1,1
1220,"Well, I mean if uh, if Emily gave me a choice",Ross,sadness,negative,124,8,5,6,"00:10:56,530","00:10:59,032",0,0
1223,"Hey, you guys! Look what I found in the giiiiiiift shop.  Get up! Get up! Get up!",Joey,joy,positive,124,11,5,6,"00:11:05,456","00:11:12,712",1,1
1224,"I left a bra drying on the shower rod, you dont think your son will think its yours and be horribly traumatised?",Emily,joy,positive,125,0,4,18,"00:02:30,400","00:02:35,445",1,1
1233,"Mornings here! Sunshine is here! The sky is clear, the mornings here! The mornings here!",The Singing Man,joy,positive,126,0,4,19,"00:00:06,756","00:00:22,271",1,1
1234,HEY!! Do you,Rachel,anger,negative,126,1,4,19,"00:00:24,941","00:00:28,527",0,1
1235,Oh come on! Mornings here!  Mornings here! The morning is here! Sunshine is here!,The Singing Man,joy,positive,126,2,4,19,"00:00:29,029","00:00:36,160",1,1
1237,Are you kidding? I love that guy!  Mornings here! Morning is here,Joey,joy,positive,126,4,4,19,"00:00:56,181","00:01:03,187",1,1
1238,Stop it! I will kill you. I hate the fact that my room is so small.,Rachel,anger,negative,126,5,4,19,"00:01:03,354","00:01:12,738",0,1
1240,"Monica, you dont even have a bed, you sleep in a ball on the floor!",Rachel,anger,negative,126,7,4,19,"00:01:15,784","00:01:19,661",0,1
1242,Im sorry. Im so sorry.,Rachel,sadness,negative,126,9,4,19,"00:01:27,837","00:01:29,713",0,0
1245,Shut up! This place is a hole!,Monica,anger,negative,126,12,4,19,"00:01:33,426","00:01:35,344",0,1
1247,No-no!,Chandler,fear,negative,127,1,4,20,"0:08:12,533","0:08:13,555",0,1
1248,"No, no-n-n-n-no!!",Chandler,fear,negative,127,2,4,20,"0:08:13,555","0:08:14,966",0,1
1249,You are going to a clinic!,Chandler,disgust,negative,127,3,4,20,"00:08:16,496","00:08:19,748",0,1
1250,"Youre going to a clinic, and a pyjama store!",Chandler,disgust,negative,127,4,4,20,"00:08:21,375","00:08:32,469",0,1
1253,"Great, lets begin.  Hows the pressure?",Phoebe,joy,positive,128,2,8,14,"00:07:33,200","00:07:45,400",1,1
1254,Nice! Wow Phoebe you are good!,Monica,joy,positive,128,3,8,14,"00:07:46,240","00:07:49,320",1,1
1255,"Stating the obvious, but thank you. And its not weird is it.",Phoebe,joy,positive,128,4,8,14,"00:07:49,560","00:07:56,400",1,1
1256,No. Ooohh,Monica,joy,positive,128,5,8,14,"00:07:55,000","00:07:56,400",1,1
1258,Oh. Oh yeah! Ohhhhh! Ohh! Oh yeah!,Monica,joy,positive,128,7,8,14,"00:08:03,400","00:08:14,800",1,1
1260,Oh God Phoebe!!  Oh thats it! Thats it! Right there! Oh!  Ooooh-oooh-ooooh,Monica,joy,positive,128,9,8,14,"00:08:15,480","00:08:22,600",1,1
1267,Become a drama critic!,Kate,joy,positive,129,0,3,22,"00:10:00,933","00:10:03,226",1,1
1268,I am hurt!  A plague on both your houses!,The Director,sadness,negative,129,1,3,22,"00:10:08,149","00:10:17,198",0,0
1269,"By the way, he dumped me tonight after he read my review.",Kate,sadness,negative,129,2,3,22,"00:10:19,076","00:10:22,746",0,0
1270,"Oh, classy.",Joey,disgust,negative,129,3,3,22,"00:10:22,913","00:10:24,706",0,1
1271,"Yep! I sure know how to pick em, huh? Y'know I gave up a part on a soap for this!",Kate,sadness,negative,129,4,3,22,"00:10:25,291","00:10:32,589",0,0
1272,"Wow! Yeah I ah, I gave up a job too.",Joey,anger,negative,129,5,3,22,"00:10:33,174","00:10:37,719",0,1
1274,"Uh, de-clawing cats.",Joey,anger,negative,129,7,3,22,"0:10:38,638","0:10:40,820",0,1
1277,Well stop by every news stand and burn every copy of their Times and the Post.,Joey,anger,negative,129,10,3,22,"00:10:45,728","00:10:49,939",0,1
1282,Hi Joey! What are you doing here?,Rachel,joy,positive,130,0,7,5,"00:06:00,902","00:06:03,362",1,1
1285,Great.  You got anything thats not,Joey,disgust,negative,130,3,7,5,"00:06:15,833","00:06:20,587",0,1
1291,"Huh, Rach I got to say its gonna take a lot of money for me to go out on a date with a dude.",Joey,disgust,negative,130,9,7,5,"00:06:35,937","00:06:40,190",0,1
1299,"Sure, no problem.  OohHey, donuts!",Joey,joy,positive,130,17,7,5,"0:06:57,925","0:06:58,137",1,1
1303,"Sorry, Pheebs.",Monica,sadness,negative,131,1,3,14,"00:21:21,989","00:21:24,532",0,0
1307,"Yeah. Well, umm.....",Rachel,sadness,negative,132,2,3,15,"00:16:15,683","00:16:18,559",0,0
1309,"Yeah, Im fine.",Rachel,sadness,negative,132,4,3,15,"00:16:20,604","00:16:22,772",0,0
1311,"No! Really, no, please, please, thats, thats okay.",Rachel,sadness,negative,132,6,3,15,"00:16:25,526","00:16:28,236",0,0
1313,"Oh, yeah, Im not, Im not hungry.",Rachel,sadness,negative,132,8,3,15,"0:16:30,823","0:16:32,617",0,0
1316,"Come on, pick up, pick up!",Chandler,fear,negative,133,0,6,19,"00:13:42,446","00:13:44,197",0,1
1338,"I, I can't help but notice you're naked and  I applaud you.",Ross,joy,positive,137,4,5,14,"00:13:54,625","00:13:56,251",1,1
1340,"I mean, this-this looks so great.",Ross,joy,positive,137,6,5,14,"00:13:59,630","00:14:03,049",1,1
1342,"Okay, I have to tell you something that I have never admitted during our entire friendship!",Rachel,anger,negative,138,0,5,12,"00:11:52,795","00:11:55,964",0,1
1343,"But, when we were in high school I made out with James Farrell even when I knew that you liked him!",Rachel,anger,negative,138,1,5,12,"00:11:56,132","00:12:00,343",0,1
1344,"Wow, that feels so good to get off my chest!",Rachel,joy,positive,138,2,5,12,"0:12:00,511","0:12:02,388",1,1
1345,"Okay, you go!",Rachel,anger,negative,138,3,5,12,"0:12:02,388","0:12:03,876",0,1
1347,"Ugh, Monica, I know about you and Chandler.",Rachel,disgust,negative,138,5,5,12,"00:12:08,102","00:12:12,313",0,1
1352,Well. Sounds like you're writing yourself a little play there Rach. Wow! Let me know how that one turns out.,Monica,joy,positive,138,10,5,12,"00:12:36,756","00:12:44,304",1,1
1353,"Well, I wouldn't know because I got so freaked out that I hung up the phone.",Rachel,anger,negative,138,11,5,12,"00:12:44,472","00:12:51,603",0,1
1357,All right. So you're telling me that there is nothing going on between you and Chandler.,Rachel,anger,negative,138,15,5,12,"00:13:08,329","00:13:11,956",0,1
1361,I don't know! I didn't come with her!,Phoebe,anger,negative,139,2,5,9,"00:21:44,636","00:21:46,470",0,1
1362,All right everybody! Everybody guess what? I just convinced Paul to give us a test next week!,Monica,joy,positive,139,3,5,9,"00:21:48,557","00:21:54,854",1,1
1364,Come on! Tests make us all better learners! Oh yeah!  We should have essay questions!!,Monica,joy,positive,139,5,5,9,"00:21:55,105","00:22:02,778",1,1
1377,"Hi, Julie!",All,joy,positive,142,1,2,5,"00:03:14,360","00:03:16,820",1,1
1380,Oh shoot! I work Monday nights.,Rachel,sadness,negative,143,2,3,9,"00:21:56,773","00:21:59,400",0,0
1381,"Umm, this stuffing is amazing. Do you think we should bring them some?",Phoebe,joy,positive,143,3,3,9,"00:22:02,070","00:22:05,948",1,1
1388,"Yeah, for you!",Joey,joy,positive,144,5,7,5,"0:15:20,471","0:15:22,224",1,1
1391,"Hey, I've been honing!",Chandler,anger,negative,145,2,1,20,"00:05:29,162","00:05:30,871",0,1
1393,"Oh, uh..",Chandler,fear,negative,145,4,1,20,"0:05:33,166","0:05:33,959",0,1
1394,I want her to think I might be in a restaurant.. y'know?,Chandler,fear,negative,145,5,1,20,"0:05:33,959","0:05:36,229",0,1
1395,"I might have some kind of life, like I haven't been sitting around here honing for the past few hours.",Chandler,anger,negative,145,6,1,20,"00:05:36,336","00:05:42,966",0,1
1397,Oh my God!  Go away!  Stop looking in here!,Phoebe,anger,negative,145,8,1,20,"00:05:45,720","00:05:52,934",0,1
1398,"Great, now he's waving back.",Monica,disgust,negative,145,9,1,20,"00:05:53,102","00:05:55,729",0,1
1399,"Man, we gotta do something about that guy.",Joey,disgust,negative,145,10,1,20,"00:05:57,148","00:05:58,815",0,1
1400,"This morning, I caught him looking into our apartment.",Joey,disgust,negative,145,11,1,20,"00:05:58,983","00:06:01,318",0,1
1401,It creeps me out!,Joey,anger,negative,145,12,1,20,"0:06:01,486","0:06:02,654",0,1
1402,I feel like I can't do stuff!,Joey,anger,negative,145,13,1,20,"0:06:02,654","0:06:04,181",0,1
1403,What kinda stuff?,Monica,joy,positive,145,14,1,20,"00:06:05,031","00:06:07,240",1,1
1404,"Will you grow up? I'm not talking about sexy stuff, but, like, when I'm cooking naked.",Joey,disgust,negative,145,15,1,20,"00:06:08,993","00:06:14,664",0,1
1409,"Its just y'know, been a couple of hours, and she hasnt called. Not that I even care, y'know.",Phoebe,sadness,negative,146,1,3,14,"00:11:38,948","00:11:46,538",0,0
1411,You think you know me so well.,Phoebe,anger,negative,146,3,3,14,"00:11:48,958","00:11:50,959",0,1
1417,I cant.,Phoebe,sadness,negative,146,9,3,14,"0:12:01,805","0:12:03,147",0,0
1418,I cant.,Phoebe,sadness,negative,146,10,3,14,"0:12:03,147","0:12:03,683",0,0
1419,"She dumped me, I mean I totally trusted her and then one day it was Okay, bye Pheebs gone.",Phoebe,sadness,negative,146,11,3,14,"00:12:03,764","00:12:11,020",0,0
1420,"Y'know what the saddest part is, when we were playing together, that was like the most fun Ive ever had in like all my lives.",Phoebe,sadness,negative,146,12,3,14,"00:12:12,648","00:12:20,864",0,0
1424,"It's just you and Rachel, just the two of you? This is a date. You're going on a date.",Chandler,joy,positive,147,3,1,5,"00:07:21,399","00:07:26,027",1,1
1425,Nuh-uh.,Ross,fear,negative,147,4,1,5,"00:07:27,864","00:07:28,989",0,1
1426,Yuh-huh.,Chandler,joy,positive,147,5,1,5,"00:07:31,325","00:07:32,576",1,1
1428,"Well, you may wanna rethink the dirty underwear.",Chandler,disgust,negative,147,7,1,5,"00:07:37,790","00:07:41,126",0,1
1432,"Ok, ok, now what is wrong with my",Ross,anger,negative,147,11,1,5,"00:07:56,017","00:07:58,810",0,1
1434,"Ok, so it's just because it was my table, I have to buy a new one?",Chandler,anger,negative,148,0,1,12,"00:07:31,909","00:07:35,036",0,1
1436,"What rule? There's no rule, if anything, you owe me a table!",Chandler,anger,negative,148,2,1,12,"00:07:37,999","00:07:41,543",0,1
1437,How'd you get to that?,Joey,anger,negative,148,3,1,12,"00:07:41,961","00:07:45,088",0,1
1438,"Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio",Chandler,anger,negative,148,4,1,12,"00:07:45,256","00:07:47,996",0,1
1440,"Well, let's just say the impressions you made in the butter left little to the imagination.",Chandler,disgust,negative,148,6,1,12,"00:07:50,094","00:07:57,100",0,1
1449,You'd tell me if you were moving out right,Joey,fear,negative,148,15,1,12,"00:08:12,325","00:08:14,409",0,1
1451,"Aw, I know all about Kip!",Joey,anger,negative,148,17,1,12,"0:08:16,559","0:08:19,421",0,1
1452,"It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly.",Chandler,anger,negative,148,18,1,12,"00:08:19,540","00:08:23,877",0,1
1453,"Well, let me ask you something, was Kip a better roommate than me?",Joey,sadness,negative,148,19,1,12,"00:08:24,921","00:08:28,798",0,0
1454,"Aw, don't do that",Chandler,sadness,negative,148,20,1,12,"00:08:29,800","00:08:31,551",0,0
1455,"Ooh, oh no! I have to go! I have a massage appointment.",Phoebe,sadness,negative,149,0,8,7,"00:13:57,294","00:14:01,172",0,0
1458,Absolutely.  I love the way you kiss.,Eric,joy,positive,149,3,8,7,"00:14:13,978","00:14:16,020",1,1
1459,Oh my God! Oh my God! Im so sorry!,Mona,fear,negative,150,0,8,8,"00:10:59,659","00:11:01,785",0,1
1461,You think you can knock up my daughter and then not marry her?! Im gonna kill you!!,Dr. Green,anger,negative,150,2,8,8,"00:11:14,382","00:11:20,553",0,1
1462,Yknow this is actually not a great time for me.,Ross,sadness,negative,150,3,8,8,"00:11:22,932","00:11:25,475",0,0
1463,"Okay! So, well just stay married.",Rachel,joy,positive,151,0,6,1,"00:12:18,404","00:12:21,156",1,1
1464,"Yes, exactly!",Ross,joy,positive,151,1,6,1,"00:12:21,365","00:12:22,657",1,1
1465,And I will make everyone call me Mrs. Geller!,Rachel,joy,positive,151,2,6,1,"00:12:22,867","00:12:26,661",1,1
1466,"Wow! This is so amazing. I uh, I really thought Id have to talk you into this more.",Ross,joy,positive,151,3,6,1,"00:12:28,247","00:12:34,002",1,1
1471,Really?,Ross,anger,negative,151,8,6,1,"00:13:01,573","00:13:03,573",0,1
1472,I mean you fill some form out once and a while and instead of checking the box that says Ms you check the box that says Mrs.!,Ross,joy,positive,151,9,6,1,"00:13:06,327","00:13:17,045",1,1
1474,"Ohh, okay, Im sorry.",Rachel,sadness,negative,151,11,6,1,"0:13:19,131","0:13:21,509",0,0
1479,You are asking me to be your wife!,Rachel,anger,negative,151,16,6,1,"00:13:46,116","00:13:49,911",0,1
1482,"I know, I know, I'm such an idiot.",Paul,joy,positive,152,1,1,1,"00:10:24,498","00:10:28,793",1,1
1492,"Barry, I'm sorry...",Rachel,sadness,negative,152,9,1,1,"0:10:53,277","0:10:54,737",0,0
1493,I am so sorry...,Rachel,sadness,negative,152,10,1,1,"0:10:54,737","0:10:56,422",0,0
1494,"I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...",Rachel,sadness,negative,152,11,1,1,"00:10:56,614","00:11:06,706",0,0
1496,"Really, I, no, I think girls night out is a great idea.",Ross,joy,positive,153,1,3,6,"00:09:20,768","00:09:25,146",1,1
1499,"I dont know, something girlie.",Ross,joy,positive,153,4,3,6,"0:09:30,487","0:09:32,851",1,1
1503,"Oh, well dont take it to the same place you took the stereo, cause theyve had that thing for over a week.",Monica,disgust,negative,153,8,3,6,"00:09:44,333","00:10:00,015",0,1
1505,Youre disturbing my oboe practice.,Mr. Heckles,anger,negative,153,10,3,6,"00:10:00,558","00:10:02,934",0,1
1506,You dont play the oboe!,Phoebe,anger,negative,153,11,3,6,"0:10:03,311","0:10:04,523",0,1
1507,I could play the oboe!,Mr. Heckles,anger,negative,153,12,3,6,"0:10:04,523","0:10:06,491",0,1
1508,Ohhh! That is soo sweet!,Rachel,joy,positive,154,0,3,12,"00:13:59,713","00:14:02,799",1,1
1509,"Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me.",Mark,joy,positive,154,1,3,12,"00:14:03,759","00:14:14,018",1,1
1510,"All right that's, that's it!! Get off her!",Ross,anger,negative,154,2,3,12,"0:14:14,186","0:14:16,248",0,1
1512,What's going on?!  That's what's going on!!,Ross,anger,negative,154,4,3,12,"00:14:18,023","00:14:20,817",0,1
1514,I have been down in your store for twenty minutes trying to get a tie!,Ross,anger,negative,154,6,3,12,"00:14:27,408","00:14:31,953",0,1
1515,What do I have to do to get some service?!,Ross,anger,negative,154,7,3,12,"00:14:34,081","00:14:36,791",0,1
1519,Hey its Mona! From the wedding.,Mona,joy,positive,155,2,8,5,"00:20:40,572","00:20:43,074",1,1
1520,Oh hi!,Ross,joy,positive,155,3,8,5,"0:20:43,242","0:20:44,953",1,1
1521,Hi!,Mona,joy,positive,155,4,8,5,"0:20:44,953","0:20:45,907",1,1
1524,"Oh thats right. Well uh, would you be interested in seeing a Ukrainian film?",Ross,joy,positive,155,7,8,5,"00:20:51,458","00:20:56,170",1,1
1526,Great! Well umm,Ross,joy,positive,155,9,8,5,"00:21:01,885","00:21:04,178",1,1
1530,"Look, I feel really bad about how I freaked you out before, so I called the father and asked him to meet you here so you can tell him.",Phoebe,sadness,negative,156,0,8,2,"00:13:49,662","00:13:56,960",0,0
1531,Go!,Phoebe,anger,negative,156,1,8,2,"00:13:53,916","00:13:56,960",0,1
1533,"I may play the fool at times, but Im a little more than a pretty blond girl with an ass that wont quit.",Phoebe,anger,negative,156,3,8,2,"00:14:01,382","00:14:09,430",0,1
1537,"Uh, lets rip!",Rachel,fear,negative,156,7,8,2,"0:14:27,992","0:14:28,743",0,1
1539,Oh Phoebe!,Rachel,joy,positive,156,9,8,2,"0:14:29,785","0:14:30,427",1,1
1542,"Hey, thank you so much for these tickets, Chandler.",Phoebe,joy,positive,157,0,9,20,"00:23:25,600","00:23:28,478",1,1
1543,"Oh well, this was a really important experience for me, and    I wanted to share it with you.",Chandler,joy,positive,157,1,9,20,"00:23:28,645","00:23:33,024",1,1
1544,"Oh, you're so wonderful.",Monica,joy,positive,157,2,9,20,"00:23:33,191","00:23:34,985",1,1
1550,No!,Ross,disgust,negative,158,3,9,1,"0:07:28,114","0:07:29,015",0,1
1553,We’re not peeking?,Joey,sadness,negative,158,6,9,1,"00:07:37,206","00:07:39,541",0,0
1556,Chandler is fantastic!!,Joanna,joy,positive,159,0,3,20,"00:09:36,284","00:09:38,660",1,1
1559,Yknow how people just click?,Joanna,joy,positive,159,2,3,20,"0:09:41,122","0:09:41,903",1,1
1560,"Like he came by to pick me up, and I opened the door, and it was just like, click!",Joanna,joy,positive,159,3,3,20,"00:09:41,998","00:09:46,293",1,1
1563,"Oh, and hes got such a good heart! Doesnt he have a good heart?",Joanna,joy,positive,159,5,3,20,"00:09:48,170","00:09:50,922",1,1
1564,"Oh, I know...",Rachel,joy,positive,159,6,3,20,"00:09:51,090","00:09:52,674",1,1
1565,"Oh, I know and hes soo sweet! Listen, he said he was going to call, so put him straight through.",Joanna,joy,positive,159,7,3,20,"00:09:51,090","00:09:55,010",1,1
1566,Isnt this great?!,Sophie,joy,positive,159,8,3,20,"0:09:55,177","0:09:56,512",1,1
1569,"Hi, sweetie!",Rachel,joy,positive,160,1,3,14,"0:05:29,714","0:05:30,891",1,1
1573,I?ve got some bad news.,Rachel,sadness,negative,160,5,3,14,"0:05:37,295","0:05:38,922",0,0
1574,What?,Ross,fear,negative,160,6,3,14,"0:05:38,922","0:05:39,530",0,1
1576,"Come on sweetie! You?ve had to work late every night for the past two weeks, what is it this time?",Ross,sadness,negative,160,8,3,14,"00:05:42,133","00:05:48,305",0,0
1578,"But work comes first!  Oh hey, but that?s sad about you though, what happened? Burn out? Burn all out, did ya?",Ross,joy,positive,160,10,3,14,"00:05:48,473","00:05:57,689",1,1
1580,"Oh well that?s great, so I guess this is ah, this is good bye then. Huh?  Good bye.",Ross,joy,positive,160,12,3,14,"00:06:01,903","00:06:06,740",1,1
1583,Well we?re gonna miss you around here.,Rachel,sadness,negative,160,15,3,14,"00:06:10,870","00:06:12,996",0,0
1584,"Yeah, me too.",Mark,sadness,negative,160,16,3,14,"00:06:13,456","00:06:15,207",0,0
1608,"Seriously dude, 3 years ago.",Chandler,joy,positive,161,1,9,12,"00:09:22,353","00:09:24,479",1,1
1590,Well theres some people who do want to marry me.,Monica,anger,negative,163,1,6,25,"00:06:51,786","00:06:54,538",0,1
1592,Yeah! Richard!,Monica,anger,negative,163,3,6,25,"0:06:55,373","0:06:57,269",0,1
1597,That-that hes a-a complex fellow whos unlikely to take a wife!,Monica,anger,negative,163,8,6,25,"00:07:11,806","00:07:15,308",0,1
1598,That-that hes against marriage and always will be!,Monica,anger,negative,163,9,6,25,"00:07:15,560","00:07:18,103",0,1
1600,"You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",Ross,fear,negative,164,0,1,1,"00:20:43,492","00:20:49,080",0,1
1604,Oh.,Ross,sadness,negative,164,4,1,1,"0:20:59,684","0:21:00,931",0,0
1605,"Listen, do you think- and try not to let my intense vulnerability become any kind of a factor herebut do you think it would be okay if I asked you out?",Ross,fear,negative,164,5,1,1,"00:21:05,514","00:21:16,983",0,1
1608,"Yeah, maybe...",Rachel,joy,positive,164,8,1,1,"00:21:18,235","00:21:21,821",1,1
1609,"Okay... okay, maybe I will...",Ross,joy,positive,164,9,1,1,"00:21:20,529","00:21:31,872",1,1
1612,"Well, youre amazing.",Joey,joy,positive,165,1,4,7,"00:14:16,730","00:14:18,106",1,1
1616,"Oh, you are the best friends anyone has ever had.",Joey,joy,positive,165,5,4,7,"00:14:35,624","00:14:38,167",1,1
1617,"Oh, I dont know.",Chandler,fear,negative,165,6,4,7,"00:14:38,961","00:14:41,045",0,1
1618,"Oh-no-no-no, you are!",Joey,joy,positive,165,7,4,7,"00:14:41,255","00:14:42,463",1,1
1619,"You do this, you give me the great advice, and hey listen, I was thinking about what you said yesterday about focusing on one woman, Im gonna do that.",Joey,joy,positive,165,8,4,7,"00:14:42,673","00:14:50,513",1,1
1628,I think somebodys got a little crush on Casey.,Joey,joy,positive,165,16,4,7,"00:15:03,569","00:15:07,030",1,1
1629,How bout I fix you two up?,Joey,joy,positive,165,17,4,7,"0:15:07,323","0:15:08,375",1,1
1630,What do you think?,Joey,joy,positive,165,18,4,7,"0:15:08,375","0:15:10,097",1,1
1631,That all the pieces of my life are falling right into place!,Chandler,joy,positive,165,19,4,7,"00:15:10,326","00:15:14,621",1,1
1635,"Cause every time I see your face, I cant help but fall from grace. I know.....",Singer,joy,positive,167,0,3,14,"00:00:10,135","00:00:18,100",1,1
1637,"Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before.",Phoebe,anger,negative,167,2,3,14,"00:00:20,020","00:00:23,856",0,1
1641,Look at you. All jealous.,Monica,anger,negative,167,6,3,14,"00:00:36,369","00:00:38,412",0,1
1643,Say you'll stay beside me,Joey,sadness,negative,167,8,3,14,"00:00:49,247","00:00:52,801",0,0
1644,"Okay, see, see, everyone else is happy shes done.",Phoebe,anger,negative,167,9,3,14,"00:00:57,807","00:01:01,018",0,1
1657,"Ross, no! There is",Rachel,anger,negative,168,9,5,24,"00:06:38,439","00:06:41,525",0,1
1659,"Ross, I am a human doodle!!",Rachel,anger,negative,168,11,5,24,"00:06:44,070","00:06:46,071",0,1
1664,Come on!,Ross,joy,positive,169,0,6,15,"00:03:40,762","00:03:42,262",1,1
1665,"Oh wait, dont you have to pay for your,  Busty Ladies?",Rachel,joy,positive,169,1,6,15,"00:03:42,430","00:03:46,350",1,1
1673,So?!,Monica,disgust,negative,170,2,3,6,"00:12:45,055","00:12:46,347",0,1
1675,Yeah huh!! Cover yourself up!,Monica,disgust,negative,170,4,3,6,"00:12:51,937","00:12:53,021",0,1
1677,"I dont believe this! When someone asks you in for lemonade, and to you that means they wanna have sex?",Monica,disgust,negative,170,6,3,6,"00:12:54,982","00:13:00,528",0,1
1681,Im such a jerk.,Joey,sadness,negative,170,10,3,6,"00:13:12,249","00:13:14,083",0,0
1683,Hmmm... this is so nice.,Rachel,joy,positive,171,0,1,7,"00:12:24,452","00:12:26,244",1,1
1694,It's brilliant!,David,joy,positive,172,3,9,23,"0:06:20,762","0:06:21,796",1,1
1695,"Goodbye Mike, we'll see you at the wedding, fella!",David,joy,positive,172,4,9,23,"00:06:21,881","00:06:25,008",1,1
1699,"Well, you're welcome! Glad I could help.",Chandler,joy,positive,172,8,9,23,"00:06:31,557","00:06:33,183",1,1
1702,"Okay, you have 19 questions left. Use them wisely.  Come on Joey! You cant win if you dont ask any",Phoebe,joy,positive,173,0,6,1,"00:10:25,791","00:10:36,051",1,1
1704,"Well, you promised me a fun road trip!",Phoebe,joy,positive,173,2,6,1,"0:10:41,558","0:10:43,102",1,1
1705,Weve been on the road six hours and youve been asleep for five and a half!,Phoebe,anger,negative,173,3,6,1,"0:10:40,306","0:10:47,118",0,1
1706,We are switching at the next rest stop and,Phoebe,anger,negative,173,4,6,1,"0:10:47,118","0:10:54,494",0,1
1708,Yeah! And until then you are going to sing to me because the radios broken and you are selfish but have a nice voice.,Phoebe,anger,negative,173,6,6,1,"00:10:56,697","00:11:04,120",0,1
1710,Sing!!,Phoebe,anger,negative,173,8,6,1,"0:11:06,041","0:11:06,692",0,1
1712,Morning!,Hitchhiker,joy,positive,173,10,6,1,"00:11:42,410","00:11:43,702",1,1
1713,Everything was delicious!,1st Customer,joy,positive,174,0,9,19,"0:05:55,731","0:05:57,443",1,1
1714,Thank you!,Monica,joy,positive,174,1,9,19,"0:05:57,443","0:05:57,780",1,1
1715,It was. The duck in particular was superb.,2nd Customer,joy,positive,174,2,9,19,"00:05:57,900","00:06:00,444",1,1
1716,Thank you!    You haven't said anything...,Monica,joy,positive,174,3,9,19,"00:06:00,611","00:06:07,993",1,1
1719,The musician right outside the restaurant...it's kind    of a mood-killer!,3rd Customer,sadness,negative,174,6,9,19,"00:06:16,168","00:06:19,463",0,0
1722,You owe me 20 bucks.,Monica,joy,positive,175,1,1,9,"0:07:55,850","0:07:58,290",1,1
1723,Thank you. Thank you so much!,Rachel,joy,positive,175,2,1,9,"00:07:58,394","00:08:00,896",1,1
1726,"What, what, what is it with you and this holiday?",Rachel,anger,negative,175,5,1,9,"00:08:12,200","00:08:14,784",0,1
1728,"Oh, I hate this story.",Ross,sadness,negative,175,7,1,9,"00:08:17,663","00:08:19,331",0,0
1730,"I have--and I remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced.",Chandler,sadness,negative,175,9,1,9,"00:08:26,005","00:08:30,091",0,0
1732,Yes. It's very difficult to appreciate a Thanksgiving dinner once you've seen it in reverse.,Chandler,sadness,negative,175,11,1,9,"00:08:31,802","00:08:36,223",0,0
1743,"Ooh, look-look-look-look-look! I got Monica naked!",Joey,joy,positive,176,10,1,8,"00:21:02,970","00:21:06,138",1,1
1745,"So, whats this about?",Tag,joy,positive,177,0,8,2,"00:15:57,122","00:15:58,790",1,1
1748,Oh no. Could I get anyone a coffee orpoison? No? Just for me? Okay.,Phoebe,fear,negative,177,3,8,2,"00:16:12,513","00:16:23,940",0,1
1749,Whats going on Rach?,Tag,joy,positive,177,4,8,2,"00:16:25,359","00:16:27,235",1,1
1750,"Nothing! Phoebe kinda made a mistake. But yknow you do wear that sweater a lot, are you involved in some kind of dare?",Rachel,fear,negative,177,5,8,2,"00:16:27,403","00:16:40,331",0,1
1751,"Yknow, Im actually glad Phoebe called.",Tag,joy,positive,177,6,8,2,"00:16:37,663","00:16:40,331",1,1
1752,"I know we broke up because you thought I wasnt mature enough, but Ive really grown up and think we should get back together.",Tag,joy,positive,177,7,8,2,"00:16:45,838","00:16:52,468",1,1
1753,"Oh, its just not the right time.",Rachel,sadness,negative,177,8,8,2,"00:16:52,761","00:16:54,804",0,0
1754,It is the right time.,Tag,joy,positive,177,9,8,2,"0:16:55,014","0:16:56,266",1,1
1756,Kay!,Joey,joy,positive,178,0,7,18,"00:10:35,301","00:10:37,302",1,1
