Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,valence,arousal,Scene_ID,Influence_0,Influence_1,Sequence_Length,facial_feature,audio_feature
720,It-it would really help me out if you guys were here to make me look good.,Ross,sadness,negative,68,8,6,21,"00:02:40,910","00:02:45,831",0,0,21,0.82278481,0,3,-0.349012764,-0.255618016
5524,What?!,Ross,anger,negative,555,3,6,24,"00:19:06,103","00:19:07,186",0,1,128,0,0.562737643,1,-0.195064695,-0.072238667
719,"Come on guys, I-I really want this guy to like me.",Ross,fear,negative,68,7,6,21,"00:02:38,449","00:02:40,742",0,1,21,0.82278481,0,2,-0.179142256,-0.112065756
10217,"No, Rachel doesnt want me to....",Ross,anger,negative,1016,19,3,17,"00:16:03,128","00:16:06,047",0,1,251,0.429332715,0,3,0.597094899,-0.272505985
200,"I know!  Don't switch hands, okay?",Ross,fear,negative,18,10,5,21,"00:05:42,383","00:05:45,969",0,1,8,0,0,1,0.697361198,-0.240780189
109,Oh my god. You are pure evil.,Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299",0,1,3,0,0,1,0.476079694,-0.197200233
7058,You still love me?,Ross,anger,negative,698,2,3,25,"0:16:31,240","0:16:32,283",0,1,169,0.656626506,0,2,-0.584942536,-0.132967898
5522,"Elizabeth, thank God! I was just thinking about",Ross,joy,positive,555,1,6,24,"00:19:00,264","00:19:03,724",1,1,128,0,0,1,-0.347203013,-0.23824276
418,I played bad on purpose guys.,Ross,joy,positive,42,6,4,7,"0:21:51,071","0:21:54,251",1,1,8,0.135309278,0,1,0.170640603,-0.226973066
8686,Thats right! Thats right!,Ross,joy,positive,867,5,7,16,"0:06:16,813","0:06:18,519",1,1,215,0.656626506,0,1,0.581949047,0.096410808
7169,Yeah!,Ross,joy,positive,712,10,8,20,"0:03:19,896","0:03:20,748",1,1,172,0,0.562737643,2,0.605521192,0.503775927
9551,This year was supposed to be great!,Ross,anger,negative,950,2,5,11,"00:18:02,706","00:18:05,458",0,1,229,0,0,1,0.472812178,-0.067509237
8452,"Okay, good-good for you.",Ross,joy,positive,844,15,4,11,"00:18:20,599","00:18:22,391",1,1,205,0,0.45413915,4,0.525466031,-0.115326259
1505,"I mean, I dont feel like I even have a girlfriend anymore.",Ross,anger,negative,155,0,3,15,"00:11:51,961","00:11:54,587",0,1,39,0,0,1,0.097656072,-0.184434071
2684,"Fine. Fine, alright, now you'll never know.",Ross,anger,negative,269,1,1,6,"00:07:26,529","00:07:28,530",0,1,61,0,0,1,-0.218007284,-0.240921878
6849,"Cause I kinda all ready told her uh, it was, it was already taken care of.",Ross,fear,negative,673,20,6,2,"00:16:18,519","00:16:24,983",0,1,162,0,0,1,0.113484899,-0.171618116
8963,Crazy lady thinks her mother is in a cat.,Ross,sadness,negative,897,2,4,2,"00:11:28,270","00:11:32,190",0,0,219,0,0,1,-0.515456913,-0.205887068
167,Aren't we a little old for this?,Ross,anger,negative,15,18,9,23,"0:43:28,699","0:43:30,985",0,1,5,0.656626506,0,5,0.149901535,-0.095184626
5371,"Hey, why dont you show dad how you can put your shoes on, in your room!",Ross,joy,positive,541,7,6,15,"00:14:18,128","00:14:21,276",1,1,125,0,0.187579214,2,-0.153571053,0.085319798
288,"I-I hurt three huge men, I gave a guy a bloody noseI mean I-Im not proud of it but, I really am.",Ross,anger,negative,28,2,4,15,"0:19:19,673","0:19:19,821",0,1,11,0.656626506,0,3,0.401689885,-0.120901991
4819,Yeah. He could row like a viking.,Ross,joy,positive,489,1,1,3,"00:21:46,722","00:21:50,266",1,1,117,0,0,1,-0.431427414,-0.117496085
10242,Okay!,Ross,anger,negative,1018,8,8,8,"0:17:00,060","0:17:00,692",0,1,252,0.55813253,0,3,-0.532841236,0.603160675
2569,"Remember, evolution?",Ross,joy,positive,259,3,6,12,"00:16:43,794","00:16:45,211",1,1,57,0,0.517857143,2,-0.003477876,-0.083556143
843,What-what are you doing?! Are youOkay thats not funny! Just stop horsing around!,Ross,anger,negative,78,3,7,22,"00:09:54,093","00:09:57,917",0,1,28,0,0,1,0.339669073,0.610184667
1374,"I'm sorry, man.",Ross,sadness,negative,140,1,5,10,"00:05:51,559","00:05:53,643",0,0,35,0,0,1,-0.071250008,-0.266438742
7178,"Hi, I was wondering if it is possible to increase security in the Paleontology section?",Ross,anger,negative,714,4,7,7,"00:10:10,735","00:10:16,281",0,1,173,0.656626506,0,2,-0.164279131,-0.27636896
1970,"Ah...ooh! Well, looks like, uh, we kicked your butts.",Ross,joy,positive,198,1,1,12,"00:17:08,402","00:17:11,279",1,1,49,0,0,1,-0.125997518,-0.300891867
4250,Hi!  Hey mom.,Ross,joy,positive,435,1,8,18,"00:05:10,089","00:05:13,468",1,1,109,0,0,1,-0.057108441,0.610182381
5269,Whats-whats this nonsense?,Ross,fear,negative,531,2,6,4,"0:20:07,976","0:20:10,173",0,1,123,0,0,1,0.118491257,0.124392216
1604,Oh.,Ross,sadness,negative,164,4,1,1,"0:20:59,684","0:21:00,931",0,0,43,0.656626506,0,2,0.506016713,0.050050031
10103,Thats not how that was supposed to come out.,Ross,sadness,negative,1007,7,3,10,"00:19:02,391","00:19:05,434",0,0,248,0.656626506,0,5,0.319020043,-0.209424207
7394,I cant believe they-they didnt even tell us!,Ross,joy,positive,738,7,7,13,"00:02:17,137","00:02:18,929",1,1,182,0,0,1,0.01848357,-0.192862471
10234,So your dad dropped by. Hes a pleasant man!,Ross,joy,positive,1018,0,8,8,"00:16:20,229","00:16:25,400",1,1,252,0,0,1,-0.399099354,0.639324054
6062,"Oh, I can't tell you how great it was to look at the crowd and see your face!",Ross,joy,positive,610,1,9,23,"00:30:43,007","00:30:46,635",1,1,147,0,0,1,0.652996556,-0.328895993
3704,Presenting Sarah Tuttles Private Very Special Spacecamp!,Ross,joy,positive,368,1,3,10,"00:21:53,270","00:22:05,323",1,1,94,0.656626506,0,1,0.613652992,-0.205415273
2650,You weren't trying to entice me with your nakedness.,Ross,joy,positive,266,14,5,23,"00:11:02,119","00:11:06,289",1,1,60,0,0.517857143,3,-0.432758258,0.327874312
7984,"Yeah-yeah, there it is, just a phone number a really hot girl gave me.",Ross,joy,positive,805,3,4,5,"00:00:18,143","00:00:24,023",1,1,199,0,0.562737643,2,0.464663728,-0.114948383
3072,You had fantasies about Emily?,Ross,sadness,negative,307,2,4,17,"00:04:13,169","00:04:15,170",0,0,80,0,0,1,0.395086344,-0.205267127
1462,Yknow this is actually not a great time for me.,Ross,sadness,negative,150,3,8,8,"00:11:22,932","00:11:25,475",0,0,36,0,0,1,0.462795786,0.604900542
8870,I like that.,Ross,joy,positive,888,6,4,15,"00:16:36,787","00:16:40,164",1,1,218,0.656626506,0,1,-0.438031774,0.012825958
2626,"She says as time goes on, he's gonna start getting agressive and violent.",Ross,sadness,negative,263,7,1,21,"00:08:15,912","00:08:20,916",0,0,59,0.721649485,0,2,-0.134557264,-0.297479922
5924,Of course he is!,Ross,joy,positive,598,0,6,6,"00:05:16,733","00:05:19,151",1,1,141,0,0,1,0.22567027,-0.242542151
1216,"I'm really gonna miss this apartment. Y'know, Ben-Ben took his first steps right over there.",Ross,sadness,negative,124,4,5,6,"00:10:33,591","00:10:39,638",0,0,33,0,0.562737643,1,-0.35205074,-0.119355226
9924,How do you think Joey?s going to react when he finds out that you blew off his sister with a letter?,Ross,anger,negative,980,5,3,11,"00:12:46,807","00:12:53,229",0,1,242,0.656626506,0,3,0.569367295,-0.147375084
3824,Stupid balls are in the way.,Ross,sadness,negative,385,3,3,6,"00:20:45,994","00:20:48,496",0,0,97,0,0.562737643,1,-0.237298489,-0.009576616
5780,Thanks.,Ross,sadness,negative,585,4,3,6,"0:19:56,364","0:19:57,174",0,0,138,0.656626506,0,3,-0.352985182,-0.207919187
5207,"Um, no.",Ross,fear,negative,526,11,3,5,"0:20:52,167","0:20:52,877",0,1,122,0.164156627,0,2,-0.442945934,-0.209123777
1574,What?,Ross,fear,negative,160,6,3,14,"0:05:38,922","0:05:39,530",0,1,42,0,0,1,-0.51652496,-0.273975386
2490,...I can begin to trust you again.,Ross,anger,negative,252,4,4,1,"00:11:56,882","00:11:58,842",0,1,55,0.721649485,0,4,0.078128171,-0.300633016
2070,"No-no-no. I don't have a son named Jordie. We all agreed, my son's name is Jamie.",Ross,anger,negative,206,1,1,23,"00:08:03,566","00:08:10,113",0,1,55,0,0,1,-0.438942264,-0.145546376
2324,Im really glad we came.  Youre so pretty. I love you.,Ross,joy,positive,230,1,3,14,"00:13:22,384","00:13:35,897",1,1,60,0,0,1,-0.017328091,-0.286626639
1924,Im on time!,Ross,joy,positive,193,1,8,12,"0:17:22,250","0:17:23,980",1,1,47,0,0.517857143,2,0.03167916,0.616317485
6211,"I just wanted to thank you again for last night, what a great party!",Ross,joy,positive,623,7,4,22,"00:12:15,151","00:12:17,902",1,1,148,0,0.562737643,2,-0.232259205,-0.248281695
5270,"All right, Im-Im not English.",Ross,sadness,negative,531,3,6,4,"00:20:14,213","00:20:16,964",0,0,123,0.656626506,0,2,0.31196134,-0.179554699
56,Im so proud of you.,Ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991",1,1,1,0,0.562737643,2,-0.354537604,-0.301841456
969,"Ok, would people stop drinking the breast milk?",Ross,disgust,negative,91,6,2,2,"00:09:29,485","00:09:32,904",0,1,32,0,0,1,-0.087924061,0.072012359
874,"Yeah, but you're making me look bad!",Ross,anger,negative,95,9,5,15,"00:13:30,309","00:13:32,435",0,1,23,0,0,1,-0.450670235,0.341751132
2652,No! No!  No!  No-no-no-no.,Ross,joy,positive,266,16,5,23,"00:11:15,758","00:11:26,184",1,1,60,0,0.517857143,4,-0.446938056,-0.024553739
9114,"He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",Ross,joy,positive,910,6,1,3,"00:11:11,212","00:11:18,426",1,1,223,0,0.562737643,2,-0.409982589,-0.250122711
5925,"What, do you think Id just use my son as-as an excuse?",Ross,joy,positive,598,1,6,6,"00:05:19,319","00:05:21,737",1,1,141,0,0.562737643,2,0.283535902,-0.153865732
1360,Who cares? I repel women.,Ross,disgust,negative,138,1,6,7,"00:15:16,081","00:15:18,708",0,1,33,0,0,1,0.005047374,-0.22498324
2045,"Hey, when-when was it kicking? What happened?",Ross,joy,positive,203,3,8,14,"00:06:42,080","00:06:43,840",1,1,54,0,0,1,-0.589515103,0.624377364
4972,"Without, without these arms, and your face, and this heart.",Ross,sadness,negative,506,2,3,16,"00:20:50,749","00:20:59,715",0,0,120,0.656626506,0,3,0.284053029,-0.191049974
523,Please. This is so your fault.,Ross,anger,negative,49,0,1,23,"0:09:14,804","0:09:18,446",0,1,17,0,0,1,-0.541390568,0.242040606
8478,"Ok, ok, one, two, three.",Ross,joy,positive,847,2,2,1,"00:09:01,290","00:09:10,966",1,1,206,0,0.562737643,3,-0.058516996,-0.033848654
8591,"Thanks guys!  I really appreciate this, yknow, but you dont have to rub my butt.",Ross,joy,positive,857,11,5,1,"00:20:51,333","00:20:58,881",1,1,210,0,0,1,-0.560046359,-0.294288911
5791,"No, I cant get it out.",Ross,sadness,negative,585,12,3,6,"0:20:37,861","0:20:38,223",0,0,138,0.459638554,0,2,-0.179934202,-0.178201077
6811,No!,Ross,anger,negative,671,17,9,21,"0:17:17,954","0:17:18,184",0,1,160,0.656626506,0,2,0.311561326,0.505257502
10401,"Just you keep it, listen did you, did you tell anyone about us?",Ross,sadness,negative,1030,4,3,16,"00:08:27,757","00:08:31,259",0,0,255,0,0,1,0.422806116,-0.249883404
2950,"Hello, Susan.  Good shake. Good shake. So, uh, we're just waiting for...?",Ross,anger,negative,296,5,1,2,"00:14:49,471","00:14:56,728",0,1,76,0,0,1,-0.057507024,-0.335673159
428,"What?! I wh-, whats wrong?",Ross,fear,negative,36,10,3,21,"00:15:53,535","00:15:54,661",0,1,14,0.82278481,0,2,0.506782216,-0.211116441
279,Im an idiot.,Ross,disgust,negative,23,6,3,6,"00:17:59,369","00:18:00,661",0,1,10,0.82278481,0,3,0.459167253,-0.271908771
224,"This is supposed to be, like, the greatest day of my life, y'know?",Ross,anger,negative,19,3,1,23,"00:14:24,280","00:14:26,948",0,1,8,0.82278481,0,3,-0.129217989,-0.071653827
537,Crack isnt even an intravenous drug!,Ross,anger,negative,54,7,6,5,"00:10:55,946","00:10:58,406",0,1,11,0.721649485,0,2,-0.356576837,-0.256800693
7475,Theres this kid in my class who said hes in love with me.,Ross,sadness,negative,747,2,7,18,"00:08:03,316","00:08:06,818",0,0,185,0,0,1,-0.535790143,-0.233066183
5766,"Hi! Im so glad youre here, but its gonna be a while. I-I wished youd called first.",Ross,joy,positive,584,0,8,23,"00:06:45,434","00:06:51,065",1,1,137,0,0,1,-0.311442279,0.636381511
186,"Yeah, Im gonna go to a doctor who went to school in a mini-mall.",Ross,disgust,negative,17,14,3,7,"00:13:58,796","00:14:02,882",0,1,4,0.721649485,0,2,0.510903779,-0.280404926
6552,Is it? Feels like two.,Ross,sadness,negative,652,3,1,6,"00:02:01,412","00:02:03,205",0,0,156,0,0,1,0.660476085,-0.292155974
6594,No! No! Its wrong! Its-its-its naughty. Its taboo.,Ross,joy,positive,655,13,6,18,"00:21:05,389","00:21:11,769",1,1,157,0,0.443006229,2,0.357783345,-0.011039072
8864,"What? No! No, Im not stopping. Im Red Ross!",Ross,sadness,negative,888,0,4,15,"00:16:13,430","00:16:16,599",0,0,218,0,0,1,-0.471157822,0.597939121
700,"See, I see.... big passion in your future.",Ross,joy,positive,65,0,1,7,"00:08:11,240","00:08:15,702",1,1,21,0,0,1,0.050262888,-0.290172275
7327,Hey!,Ross,joy,positive,733,0,6,1,"00:20:36,360","00:20:37,401",1,1,179,0,0,1,-0.011774985,0.027680394
7483,"I mean, last year Elizabeth now-now this kid.",Ross,anger,negative,747,10,7,18,"00:08:19,874","00:08:22,584",0,1,185,0,0.562737643,1,-0.328355802,-0.27906757
9997,I cant ask people to do that? Would you ask people to do that?,Ross,anger,negative,996,7,4,23,"00:11:23,182","00:11:26,685",0,1,246,0.153212851,0,3,0.271167493,-0.12181077
5625,I want that place so much!!,Ross,joy,positive,566,1,5,14,"0:09:03,258","0:09:05,260",1,1,131,0,0,1,0.302245493,0.618048759
4063,What's with her?,Ross,disgust,negative,415,0,5,22,"00:06:33,184","00:06:34,226",0,1,105,0,0,1,-0.476451869,-0.200570308
1138,Unbelievable! I mean you really kept Joey's underwear?! Why? Why would you do that?!,Ross,disgust,negative,109,2,5,9,"00:20:51,875","00:20:58,714",0,1,36,0,0,1,0.607554375,-0.097945281
1997,Hey!,Ross,joy,positive,199,15,4,20,"00:19:04,977","00:19:06,018",1,1,50,0,0,1,0.28128012,-0.127236428
1957,Damn! I cant believe I took her off my list.,Ross,anger,negative,195,8,3,5,"00:19:02,307","00:19:05,893",0,1,51,0,0.562737643,1,0.462580954,-0.09190541
1146,"Im sorry you lost your money, but I won it fair and square.",Ross,joy,positive,118,5,6,6,"00:21:22,072","00:21:25,241",1,1,31,0,0.562737643,2,-0.478063695,-0.139384938
834,She is not  Shes gay. Oh my God. She is,Ross,anger,negative,90,1,6,16,"00:19:11,233","00:19:27,957",0,1,22,0,0,1,-0.366430749,-0.003945357
8642,Her Sweet 'n' Los.,Ross,joy,positive,861,16,1,8,"00:04:52,250","00:04:54,084",1,1,212,0,0.337642586,2,-0.497453664,-0.261435088
1896,"I do not always have to beokay, okay.",Ross,anger,negative,188,5,4,2,"00:09:52,341","00:09:54,467",0,1,48,0.656626506,0,2,0.639093782,-0.328534026
9330,"Oh, hey, Gunther, check this out.",Ross,joy,positive,933,0,6,12,"00:09:51,382","00:09:54,467",1,1,228,0,0,1,0.230333439,0.117253674
183,"It makes him miss the bowl, but whatever.",Ross,disgust,negative,16,9,7,5,"0:20:19,232","0:20:22,446",0,1,6,0.82278481,0,2,0.56260614,-0.179880846
516,Damnit!,Ross,anger,negative,52,11,8,7,"00:11:02,578","00:11:04,425",0,1,10,0.721649485,0,2,0.013637489,0.645586634
284,Seven years.,Ross,sadness,negative,23,11,3,6,"00:18:37,199","00:18:38,866",0,0,10,0.82278481,0,5,-0.24610445,-0.192218838
3617,Does that mean the same thing in England as it does in America?,Ross,sadness,negative,359,6,4,17,"00:15:03,569","00:15:07,655",0,0,91,0,0.562737643,1,-0.119024494,0.123214609
6447,"Now, I know what youre thinking, Chandlers not the type of guy who just goes to bars and makes out with girls, and youre right, Chandlers not the type of guy who just goes to bars and makes out withgirls.",Ross,joy,positive,644,5,7,4,"00:13:26,680","00:13:36,773",1,1,154,0,0,1,-0.57464805,-0.254747226
8554,"All right, yknow what?",Ross,anger,negative,853,8,7,9,"00:15:10,951","00:15:11,993",0,1,208,0.656626506,0,3,0.501009677,-0.093349247
9768,"Ooh, remember the time I uh, I pinned you down and tickled you til you cried?",Ross,joy,positive,972,6,7,19,"00:13:49,787","00:13:55,667",1,1,240,0,0.562737643,2,0.145219975,-0.277519484
748,Pass it! Pass it!,Ross,joy,positive,70,2,1,4,"00:12:27,538","00:12:29,831",1,1,23,0.82278481,0,1,0.112269629,0.489704873
3061,"Umm, candles, champagne, yeah anniversaries are great.",Ross,joy,positive,306,0,3,17,"00:12:45,890","00:12:50,602",1,1,79,0,0,1,-0.262159446,-0.325244442
2283,"So they ah, they all took off, it was pretty hard watching them go, y'know?",Ross,sadness,negative,225,9,3,17,"00:22:20,839","00:22:26,635",0,0,59,0,0.562737643,1,-0.400222177,-0.292237397
1494,Wow!,Ross,joy,positive,154,10,8,11,"0:02:39,039","0:02:40,641",1,1,38,0,0.517857143,3,0.337548124,0.091046901
2644,I just want this to be  about what it is!,Ross,joy,positive,266,8,5,23,"00:10:28,210","00:10:34,758",1,1,60,0,0,1,-0.070191748,0.49684133
3707,Oh come on! Here we go!  Stand by for mission countdown!,Ross,joy,positive,370,1,3,10,"00:22:05,490","00:22:12,121",1,1,95,0,0,1,0.156167231,-0.133142779
10211,"Well, oh, Im sorry your car broke down Pheebs, but Im a little too busy with some of my real friends right now, but please call to let me know you got home safely okay?",Ross,anger,negative,1016,14,3,17,"00:15:41,565","00:15:50,573",0,1,251,0,0.515842839,1,0.573192443,-0.205086287
890,Yeah.,Ross,sadness,negative,87,3,1,5,"0:22:00,075","0:22:00,532",0,0,25,0,0,1,0.081166042,-0.11071861
9568,"No you didn't. You said you would, but you never did!",Ross,anger,negative,951,0,5,10,"0:14:59,648","0:15:01,484",0,1,230,0,0,1,0.551614225,0.143811097
949,Sorry.,Ross,sadness,negative,89,6,2,6,"0:12:34,685","0:12:35,144",0,0,31,0.82278481,0,2,0.176529239,-0.002613531
9564,I can't believe he thinks I'm a cowboy.,Ross,joy,positive,950,14,5,11,"00:19:06,270","00:19:09,188",1,1,229,0,0.457224335,4,0.29278432,-0.283217483
6818,"And so I wanted to read every word carefully, twice!",Ross,joy,positive,672,6,4,1,"00:07:33,411","00:07:37,247",1,1,161,0,0.562737643,3,-0.547582776,-0.225973863
7343,"Exactly. So you didnt, didnt mention anything to Issac right?",Ross,fear,negative,735,0,3,16,"00:08:34,764","00:08:37,974",0,1,180,0,0,1,0.028595659,-0.163952578
377,But you didn't!,Ross,joy,positive,31,6,9,17,"00:22:39,971","00:22:42,265",1,1,11,0,0,1,0.089369175,0.653065787
2873,Rach? Hi!,Ross,joy,positive,288,7,6,13,"00:15:56,789","00:16:00,083",1,1,75,0,0,1,-0.530773675,-0.265897349
7479,I do-I do,Ross,joy,positive,747,6,7,18,"00:08:11,657","00:08:13,700",1,1,185,0.656626506,0,1,0.024624245,0.492010691
2752,"Dude, what am I gonna",Ross,fear,negative,275,3,5,11,"00:15:00,399","00:15:01,858",0,1,74,0.656626506,0,2,0.498983861,0.044148746
8094,Lift!! And slide!,Ross,joy,positive,814,2,7,14,"00:18:31,610","00:18:33,861",1,1,200,0,0,1,-0.347941574,-0.039817875
5648,"Can we please focus here, a naked mans life hangs in the balance!",Ross,fear,negative,571,1,3,8,"00:20:35,192","00:20:39,987",0,1,134,0,0,1,-0.492919629,0.375181975
6817,"I mean this-this is clearly very, very important to you, to us!",Ross,joy,positive,672,5,4,1,"00:07:28,114","00:07:33,243",1,1,161,0,0.562737643,2,-0.608467312,-0.25152478
277,Yeah!,Ross,joy,positive,26,7,5,18,"00:10:17,824","00:10:18,743",1,1,10,0,0.562737643,2,0.328642375,-0.147302051
3522,"No! No sir umm, she means a lot to me. I mean, I careI-I love Rachel.",Ross,fear,negative,351,6,8,8,"00:11:50,835","00:11:54,671",0,1,89,0.656626506,0,2,-0.308920659,0.527739528
1735,Yeah! Got it!,Ross,anger,negative,174,13,3,15,"0:18:15,553","0:18:17,109",0,1,44,0.721649485,0,3,-0.102640801,0.183044977
6647,"Cause she's, she's alone now, and pregnant, and, and sad.",Ross,sadness,negative,659,6,1,14,"00:15:25,966","00:15:30,386",0,0,158,0,0,1,-0.536900637,-0.305216478
7891,Okay. But not about this!,Ross,anger,negative,795,6,7,6,"0:05:15,189","0:05:16,491",0,1,194,0,0,1,-0.598702707,-0.202512334
393,Do them!!,Ross,anger,negative,32,9,8,22,"00:11:28,968","00:11:34,056",0,1,12,0,0,1,0.696883966,0.628494511
172,"GO, GO, GO!",Ross,joy,positive,15,22,9,23,"00:43:37,948","00:43:40,366",1,1,5,0,0.112547529,2,-0.138937789,0.671608066
8273,"Okay, I dont know what to do anymore.",Ross,sadness,negative,831,6,3,15,"0:12:22,491","0:12:23,910",0,0,203,0.656626506,0,3,-0.306915888,-0.028247116
8275,Hey!,Ross,anger,negative,832,0,4,10,"00:00:02,794","00:00:04,586",0,1,204,0,0,1,-0.021534747,-0.209547248
6450,"Oh Mon, I laughed so hard",Ross,joy,positive,644,8,7,4,"00:13:46,492","00:13:48,159",1,1,154,0,0.562737643,2,-0.248648113,-0.127820621
7353,"Actually, no, were not.",Ross,joy,positive,735,10,3,16,"00:09:21,727","00:09:24,271",1,1,180,0.656626506,0,1,0.616657077,-0.254189314
309,It-its great to meet you Paul.,Ross,joy,positive,30,1,6,21,"00:04:23,429","00:04:25,847",1,1,12,0,0,1,0.251162036,-0.033511382
796,You see what men do! Dont tell me men are not nice!  This is men!!,Ross,anger,negative,83,10,3,11,"00:10:05,104","00:10:09,566",0,1,20,0,0,1,-0.591597449,0.570121736
3491,Yeah baby!,Ross,joy,positive,348,1,8,18,"00:08:55,000","00:08:56,023",1,1,87,0,0,1,-0.207764012,0.60365775
512,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",Ross,anger,negative,49,2,6,18,"00:13:02,364","00:13:06,951",0,1,18,0,0,1,0.678635674,-0.16057494
3528,But I didnt want to.,Ross,anger,negative,351,12,8,8,"00:12:06,851","00:12:08,977",0,1,89,0.510709505,0,2,0.55132155,0.617675334
5347,"Oh, you like it? You wanna know where I got it?",Ross,joy,positive,538,6,6,11,"00:09:01,582","00:09:08,213",1,1,124,0.656626506,0,1,0.397346429,-0.193140586
6281,It's like we're father and son.,Ross,joy,positive,629,4,2,2,"0:07:48,852","0:07:50,900",1,1,150,0,0.562737643,4,0.634591886,-0.229480682
1960,What the hell!,Ross,anger,negative,196,14,5,4,"00:16:00,668","00:16:01,709",0,1,48,0.721649485,0,8,0.41605143,0.652478608
8449,"All right, there you go!",Ross,joy,positive,844,12,4,11,"0:18:09,838","0:18:10,965",1,1,205,0,0.281368821,3,0.566655307,0.516303506
10244,Thank you!,Ross,anger,negative,1018,10,8,8,"0:17:01,194","0:17:01,866",0,1,252,0.640611225,0,4,-0.587044603,-0.172323358
5782,Thanks.,Ross,sadness,negative,585,6,3,6,"00:19:59,281","00:20:01,782",0,0,138,0.656626506,0,4,-0.345137284,-0.274076022
1071,Monica! Stop throwing it so hard! We're on the same team!,Ross,anger,negative,113,0,5,21,"00:11:29,939","00:11:35,902",0,1,27,0,0,1,0.359925941,-0.202905064
3117,"Y'know, hey! Youre the one who ended it, remember?",Ross,anger,negative,312,2,3,25,"00:16:23,607","00:16:25,650",0,1,81,0,0,1,-0.453733994,-0.210842803
2335,"Dont yell at me okay, this is the most Ive seen you all week.",Ross,sadness,negative,231,10,3,15,"00:10:42,183","00:10:45,644",0,0,61,0,0,1,-0.277247156,-0.272882934
8855,"In fact, I-I-I was married to one of them.",Ross,anger,negative,887,5,6,17,"00:19:37,509","00:19:42,305",0,1,217,0,0,1,0.546901135,-0.278946702
201,"Rachel one brunch is not gonna solve anything. You gotta face it, okay were never gonna get along.",Ross,anger,negative,17,29,3,7,"00:15:05,487","00:15:10,575",0,1,4,0.721649485,0,6,-0.558708306,-0.274117555
7179,"See I-I wrote a book up there and instead of reading it people are-are-are well, rolling around in front of it.",Ross,anger,negative,714,5,7,7,"00:10:18,451","00:10:24,164",0,1,173,0.656626506,0,3,-0.373782425,-0.323934668
8555,"If you are not going to learn how to ride this bike then Im sorry, Im just gonna have to take it back.",Ross,anger,negative,853,9,7,9,"00:15:12,202","00:15:17,707",0,1,208,0.656626506,0,4,0.506288727,-0.32586006
6068,"Look, I took it too far!",Ross,joy,positive,610,7,9,23,"00:31:06,823","00:31:08,740",1,1,147,0,0.562737643,4,0.691070836,-0.076861328
2017,"So, Im sorry I just dont think we should go away together yet.",Ross,sadness,negative,201,4,6,19,"00:10:27,084","00:10:30,128",0,0,53,0.656626506,0,2,-0.164911722,-0.262507251
9682,"We just broke up, first thing she does!",Ross,anger,negative,963,6,3,19,"00:12:54,190","00:12:56,649",0,1,235,0.656626506,0,4,0.256601931,-0.133931217
3524,"Oh but not that way. I meanI mean Im not in love with her. I love her like a, like a friend.",Ross,joy,positive,351,8,8,8,"00:11:57,675","00:12:02,053",1,1,89,0.656626506,0,1,0.685496553,0.643119659
7372,"Umm, Ive been thinking, Im just gonna come out and say it.",Ross,fear,negative,736,9,4,17,"00:09:42,832","00:09:47,836",0,1,181,0.601907631,0,3,-0.534488499,-0.249782184
9561,Maybe I should get another pair!,Ross,joy,positive,950,11,5,11,"00:18:49,628","00:18:51,712",1,1,229,0.656626506,0,1,0.108551383,-0.320087013
1112,"Oh, that'd be great!",Ross,joy,positive,113,8,1,10,"00:08:11,449","00:08:13,450",1,1,30,0,0,1,-0.598953924,-0.275861758
10435,"Fine, yknow what, thats it. From now on, Joey, I want you to be my best man.",Ross,anger,negative,1035,5,4,22,"00:02:52,255","00:02:55,174",0,1,257,0,0,1,0.419798346,-0.101503256
4826,"You had a rough day, huh.. c'mere.",Ross,sadness,negative,491,2,1,3,"00:22:19,629","00:22:23,841",0,0,118,0,0,1,0.212295078,-0.28704741
5939,Mine stole my newspaper! Its like a,Ross,anger,negative,599,10,7,9,"00:05:14,689","00:05:18,066",0,1,142,0,0,1,-0.455058983,-0.328266959
255,"What should I wear, now Im all nervous.",Ross,fear,negative,24,8,3,14,"00:11:15,549","00:11:19,969",0,1,9,0,0.562737643,1,0.54789249,-0.246224045
2361,I'm the holiday armadillo! I'm a friend of Santa's and he sent me here to wish you  a Merry Christmas!,Ross,joy,positive,233,0,7,10,"00:12:36,589","00:12:46,639",1,1,62,0,0,1,0.223685965,-0.203571205
6820,Im sorry.,Ross,sadness,negative,672,8,4,1,"00:07:50,595","00:07:51,970",0,0,161,0,0.562737643,1,-0.568813116,-0.209699331
5495,Yeah!,Ross,joy,positive,553,8,6,10,"00:08:57,286","00:08:58,328",1,1,127,0,0.562737643,2,0.282535872,0.621729428
10199,"I mean its pretty unbelievable y'know, I mean they just took off, took off without even looking back.",Ross,anger,negative,1016,2,3,17,"00:14:46,302","00:14:52,682",0,1,251,0.656626506,0,3,-0.339144804,-0.291167721
